what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947370552
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947381230
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947493552
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947494247
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947494746
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947502704
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947542618
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1286947545924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947583012
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947606169
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286947713193
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947716191
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1286947723474
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1286947723605
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947723768
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1286947908583
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947910874
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1286947912764
closed,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1286947912765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947912836
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286947914157
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1286947916044
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1286947916273
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286947917380
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1286947923006
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1286947923009
